File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,PK3,100,19,81,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,PK4,68,8,60,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,K,64,6,58,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,1,31,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,2,32,6,26,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,3,30,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,4,16,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Museum Academy,5,21,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Public Safety Academy,8,19,7,12,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Public Safety Academy,9,66,35,31,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Public Safety Academy,10,21,10,11,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Public Safety Academy,11,17,6,11,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Public Safety Academy,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,PIO,166,9,157,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,PK4,143,7,136,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,K,87,10,77,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,1,35,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,2,45,7,38,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,3,28,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,4,23,8,15,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Reggio Magnet School of the Arts,5,33,10,23,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Two Rivers Magnet Middle,6,266,46,220,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Two Rivers Magnet Middle,7,72,16,56,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Two Rivers Magnet Middle,8,50,10,40,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,PK3,211,70,141,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,PK4,166,59,107,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,K,149,70,79,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,1,77,27,50,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,2,83,29,54,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,3,76,32,44,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,4,57,27,30,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,University of Hartford Magnet,5,69,25,44,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,EHPS,Connecticut IB Academy,9,199,40,159,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,EHPS,Connecticut IB Academy,10,40,6,34,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Connecticut River Academy,9,230,119,111,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Connecticut River Academy,10,43,14,29,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Connecticut River Academy,11,20,7,13,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Connecticut River Academy,12,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,PIO,153,25,128,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,PK4,126,27,99,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,K,101,16,85,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,1,41,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,2,44,9,35,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,3,40,11,29,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,Goodwin,Riverside Magnet,4,41,6,35,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,PIO,73,25,48,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Betances Early Reading Lab Magnet,PK4,48,20,28,,
