file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,4,57.0,27,30.0,,,,CREC,University of Hartford Magnet
apps,5,69.0,25,44.0,,,,CREC,University of Hartford Magnet
apps,9,199.0,40,159.0,,,,EHPS,Connecticut IB Academy
apps,10,40.0,6,34.0,,,,EHPS,Connecticut IB Academy
apps,9,230.0,119,111.0,,,,Goodwin,Connecticut River Academy
apps,10,43.0,14,29.0,,,,Goodwin,Connecticut River Academy
apps,11,20.0,7,13.0,,,,Goodwin,Connecticut River Academy
apps,12,9.0,,,,,,Goodwin,Connecticut River Academy
apps,PK3,153.0,25,128.0,,,,Goodwin,Riverside Magnet
apps,PK4,126.0,27,99.0,,,,Goodwin,Riverside Magnet
apps,K,101.0,16,85.0,,,,Goodwin,Riverside Magnet
apps,1,41.0,,,,,,Goodwin,Riverside Magnet
apps,2,44.0,9,35.0,,,,Goodwin,Riverside Magnet
apps,3,40.0,11,29.0,,,,Goodwin,Riverside Magnet
apps,4,41.0,6,35.0,,,,Goodwin,Riverside Magnet
apps,PK3,73.0,25,48.0,,,,HPS,Betances Early Reading Lab Magnet
apps,PK4,48.0,20,28.0,,,,HPS,Betances Early Reading Lab Magnet
apps,K,51.0,26,25.0,,,,HPS,Betances Early Reading Lab Magnet
apps,1,21.0,11,10.0,,,,HPS,Betances Early Reading Lab Magnet
apps,2,26.0,16,10.0,,,,HPS,Betances Early Reading Lab Magnet
apps,3,15.0,,,,,,HPS,Betances Early Reading Lab Magnet
apps,4,80.0,36,44.0,,,,HPS,Betances STEM Magnet
apps,5,31.0,13,18.0,,,,HPS,Betances STEM Magnet
apps,6,14.0,8,6.0,,,,HPS,Betances STEM Magnet
apps,7,21.0,12,9.0,,,,HPS,Betances STEM Magnet
apps,8,9.0,,,,,,HPS,Betances STEM Magnet
apps,PK3,32.0,15,17.0,,,,HPS,Breakthrough II Magnet
apps,PK4,29.0,15,14.0,,,,HPS,Breakthrough II Magnet
apps,K,42.0,33,9.0,,,,HPS,Breakthrough II Magnet
apps,1,18.0,12,6.0,,,,HPS,Breakthrough II Magnet
apps,2,9.0,,,,,,HPS,Breakthrough II Magnet
apps,3,24.0,18,6.0,,,,HPS,Breakthrough II Magnet
apps,4,14.0,,,,,,HPS,Breakthrough II Magnet
apps,5,18.0,11,7.0,,,,HPS,Breakthrough II Magnet
apps,6,,,,,,,HPS,Breakthrough II Magnet
apps,7,,,,,,,HPS,Breakthrough II Magnet
apps,8,,,,,,,HPS,Breakthrough II Magnet
apps,PK3,77.0,41,36.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,PK4,47.0,27,20.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,K,53.0,36,17.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,1,26.0,14,12.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,2,32.0,17,15.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,3,36.0,28,8.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,4,33.0,22,11.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,5,32.0,17,15.0,,,,HPS,"Breakthrough Magnet, South Campus"
apps,6,9.0,,,,,,HPS,"Breakthrough Magnet, South Campus"
apps,7,11.0,,,,,,HPS,"Breakthrough Magnet, South Campus"
apps,8,,,,,,,HPS,"Breakthrough Magnet, South Campus"
apps,11,30.0,9,21.0,,,,HPS,Capital Community College Magnet Academy
apps,12,8.0,,,,,,HPS,Capital Community College Magnet Academy
apps,PK3,100.0,55,45.0,,,,HPS,Capital Prep - Lower School Program
apps,PK4,96.0,59,37.0,,,,HPS,Capital Prep - Lower School Program
apps,K,121.0,76,45.0,,,,HPS,Capital Prep - Lower School Program
apps,1,80.0,38,42.0,,,,HPS,Capital Prep - Lower School Program
apps,2,69.0,39,30.0,,,,HPS,Capital Prep - Lower School Program
apps,3,74.0,32,42.0,,,,HPS,Capital Prep - Lower School Program
apps,4,58.0,29,29.0,,,,HPS,Capital Prep - Lower School Program
apps,5,84.0,35,49.0,,,,HPS,Capital Prep - Lower School Program
apps,6,76.0,37,39.0,,,,HPS,Capital Prep - Upper School Program
apps,7,40.0,24,16.0,,,,RPS,Capital Prep - Upper School Program
