operator,school,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban
Goodwin,Riverside Magnet,K,101.0,16.0,85.0,17,,
Goodwin,Riverside Magnet,PK3,153.0,25.0,128.0,38,13,25
Goodwin,Riverside Magnet,PK4,126.0,27.0,99.0,26,12,14
HPS,Betances Early Reading Lab Magnet,1,21.0,11.0,10.0,53,15,38
HPS,Betances Early Reading Lab Magnet,2,26.0,16.0,10.0,54,27,27
HPS,Betances Early Reading Lab Magnet,3,15.0,,,29,9,20
HPS,Betances Early Reading Lab Magnet,K,51.0,26.0,25.0,70,23,47
HPS,Betances Early Reading Lab Magnet,PK3,73.0,25.0,48.0,51,27,24
HPS,Betances Early Reading Lab Magnet,PK4,48.0,20.0,28.0,15,9,6
HPS,Betances STEM Magnet,4,80.0,36.0,44.0,93,31,62
HPS,Betances STEM Magnet,5,31.0,13.0,18.0,32,,
HPS,Betances STEM Magnet,6,14.0,8.0,6.0,53,,
HPS,Betances STEM Magnet,7,21.0,12.0,9.0,83,11,72
HPS,Betances STEM Magnet,8,9.0,,,52,,
HPS,Breakthrough II Magnet,1,18.0,12.0,6.0,20,6,14
HPS,Breakthrough II Magnet,2,9.0,,,19,,
HPS,Breakthrough II Magnet,3,24.0,18.0,6.0,7,,7
HPS,Breakthrough II Magnet,4,14.0,,,7,,
HPS,Breakthrough II Magnet,5,18.0,11.0,7.0,21,9,12
HPS,Breakthrough II Magnet,6,,,,13,7,6
HPS,Breakthrough II Magnet,7,,,,,,
HPS,Breakthrough II Magnet,8,,,,,,
HPS,Breakthrough II Magnet,K,42.0,33.0,9.0,20,,
HPS,Breakthrough II Magnet,PK3,32.0,15.0,17.0,44,16,28
HPS,Breakthrough II Magnet,PK4,29.0,15.0,14.0,39,13,26
HPS,"Breakthrough Magnet, South Campus",1,26.0,14.0,12.0,8,,
HPS,"Breakthrough Magnet, South Campus",2,32.0,17.0,15.0,8,,
HPS,"Breakthrough Magnet, South Campus",3,36.0,28.0,8.0,9,,
HPS,"Breakthrough Magnet, South Campus",4,33.0,22.0,11.0,,,
HPS,"Breakthrough Magnet, South Campus",5,32.0,17.0,15.0,14,,
HPS,"Breakthrough Magnet, South Campus",6,9.0,,,21,,
HPS,"Breakthrough Magnet, South Campus",7,11.0,,,7,,
HPS,"Breakthrough Magnet, South Campus",8,,,,,,
HPS,"Breakthrough Magnet, South Campus",K,53.0,36.0,17.0,14,,
HPS,"Breakthrough Magnet, South Campus",PK3,77.0,41.0,36.0,31,11,20
HPS,"Breakthrough Magnet, South Campus",PK4,47.0,27.0,20.0,,,
HPS,Capital Community College Magnet Academy,11,30.0,9.0,21.0,38,19,
HPS,Capital Community College Magnet Academy,12,8.0,,,19,9,
HPS,Capital Prep - Lower School Program,1,80.0,38.0,42.0,8,,
HPS,Capital Prep - Lower School Program,2,69.0,39.0,30.0,,,
HPS,Capital Prep - Lower School Program,3,74.0,32.0,42.0,7,,
HPS,Capital Prep - Lower School Program,4,58.0,29.0,29.0,6,,
HPS,Capital Prep - Lower School Program,5,84.0,35.0,49.0,13,7,
HPS,Capital Prep - Lower School Program,K,121.0,76.0,45.0,10,,
HPS,Capital Prep - Lower School Program,PK3,100.0,55.0,45.0,19,,19
HPS,Capital Prep - Lower School Program,PK4,96.0,59.0,37.0,7,,
HPS,Capital Prep - Upper School Program,10,28.0,14.0,14.0,17,10,
HPS,Capital Prep - Upper School Program,11,,,,9,,
HPS,Capital Prep - Upper School Program,12,8.0,,,26,,
HPS,Capital Prep - Upper School Program,6,76.0,37.0,39.0,34,15,
HPS,Capital Prep - Upper School Program,7,,,,8,,
HPS,Capital Prep - Upper School Program,8,30.0,16.0,14.0,6,,
HPS,Capital Prep - Upper School Program,9,73.0,38.0,35.0,23,13,
HPS,Classical Magnet,10,,,,21,15,
HPS,Classical Magnet,11,13.0,,,19,,
HPS,Classical Magnet,12,,,,27,,
HPS,Classical Magnet,6,46.0,22.0,24.0,81,24,
HPS,Classical Magnet,7,29.0,9.0,20.0,60,,
HPS,Classical Magnet,8,22.0,12.0,10.0,13,,
HPS,Classical Magnet,9,53.0,39.0,14.0,20,,
HPS,Environmental Sciences @ Mary M. Hooker,1,16.0,7.0,9.0,20,8,
HPS,Environmental Sciences @ Mary M. Hooker,2,38.0,20.0,18.0,9,,
